Moon GM (km3/sec2) Mean_radius(km) Mean_density (g/cm3) Magnitude_V0orR Geometric_Albedo
Ariel 86.4±5.0  578.9±0.6  1.592±0.092 13.70±0.04  0.39±0.04 
Umbriel 81.5±5.0  584.7±2.8  1.459±0.092 14.47±0.04  0.21±0.02 
Titania 228.2±5.0  788.9±1.8  1.662±0.038 13.49±0.04  0.27±0.03 
Oberon 192.4±7.0  761.4±2.6  1.559±0.059 13.70±0.04  0.23±0.03 
Miranda 4.4±0.4  235.8±0.7  1.214±0.109 15.79±0.04  0.32±0.03 
Cordelia 0.0030   20.1±3.  1.3 23.62±0.35  0.07 
Ophelia 0.0036   21.4±4.  1.3 23.26±0.25  0.07 
Bianca 0.0062   27±2  1.3 22.52±0.24  0.065±0.010 
Cressida 0.0229   41±2  1.3 21.58±0.11  0.069±0.007 
Desdemona 0.0119   35±4  1.3 21.99±0.16  0.084±0.019 
Juliet 0.0372   53±4  1.3 21.12±0.05  0.075±0.011 
Portia 0.1122   70±4  1.3 20.42±0.05  0.069±0.008 
Rosalind 0.0170   36±6  1.3 21.79±0.13  0.072±0.024 
Belinda 0.0238   45±8  1.3 21.47±0.09  0.067±0.024 
Puck 0.1931   81±2  1.3 19.75±0.05  0.104±0.006 
Caliban 0.020   36  1.5 22.4R  0.04 
Sycorax 0.18   75  1.5 20.8R  0.04 
Prospero 0.0066   25  1.5 23.2R  0.04 
Setebos 0.0058   24  1.5 23.3R  0.04 
Stephano 0.0017   16  1.5 24.1R  0.04 
Trinculo 0.00031   9  1.5 25.4R  0.04 
Francisco 0.00056   11  1.5 25.0R  0.04 
Margaret 0.00042   10  1.5 25.2R  0.04 
Ferdinand 0.00042   10  1.5 25.1R  0.04 
Perdita 0.0012   13±1  1.3 23.6V  0.070±0.006 
Mab 0.0006   12±1  1.3 24.6V  0.103±0.006 
Cupid 0.0002   9±1  1.3 25.8V  0.070±0.006 
